BFIE_1,BFIE_2,BFIE_3,BFIE_4,BFIE_5,BFIE_HP45,BFIE_6,BFIE_7,BFIE_8,BFIE_9,BFIE_10,BFIE_HP46,BFIE_11,BFIE_12,BFIE_13,BFIE_14,BFIE_15,BFIE_HP47,BFIE_16,BFIE_17,BFIE_18,BFIE_19,BFIE_20,BFIE_HP48,BFIE_21,BFIE_22,BFIE_23,BFIE_24,BFIE_25,BFIE_HP49,BFIE_26,BFIE_27,BFIE_28,BFIE_29,BFIE_30,BFIE_HP50,BFIE_31,BFIE_32,BFIE_33,BFIE_34,BFIE_35,BFIE_HP51,BFIE_36,BFIE_37,BFIE_38,BFIE_39,BFIE_40,BFIE_HP52,BFIE_41,BFIE_42,BFIE_43,BFIE_44,BFIE_45,BFIE_46,BFIE_47,BFIE_48,BFIE_49,BFIE_50,BFIE_51,BFIE_52,BFIE_53,BFIE_54,BFIE_55,BFIE_56,BFIE_57,BFIE_58,BFIE_59,BFIE_60,subj
5,5,2,5,1,2,4,5,3,5,4,4,1,1,5,3,3,1,3,1,4,2,5,1,3,1,3,5,1,1,2,5,3,3,3,4,3,5,4,3,4,4,3,3,3,2,5,3,4,2,5,4,3,2,1,2,4,1,3,5,5,2,1,4,5,2,2,4,1
5,5,2,4,3,1,4,5,1,4,3,2,2,1,5,2,4,1,3,1,4,2,3,1,4,1,2,4,3,1,2,5,2,4,2,4,3,5,4,2,4,3,3,1,5,3,4,4,5,2,5,4,2,3,1,2,4,3,3,5,4,3,3,3,5,2,2,4,2
4,3,3,3,3,2,3,4,2,4,5,2,3,2,4,2,4,1,2,4,4,2,4,2,3,2,2,5,2,2,3,4,3,4,2,4,3,5,4,2,4,3,3,2,4,2,4,3,4,2,4,4,3,3,2,2,3,3,2,4,4,2,3,5,4,2,2,4,3
4,4,1,5,3,1,3,5,1,5,5,2,2,1,5,2,4,2,2,1,4,2,3,1,3,2,2,5,2,1,2,4,2,5,3,5,2,5,3,2,3,4,2,1,4,3,3,4,5,2,4,5,3,4,2,1,4,3,2,5,5,3,3,5,4,2,2,4,4
5,5,2,5,3,2,4,4,1,5,4,2,2,1,4,2,5,1,2,1,4,2,3,1,2,1,2,5,2,1,3,5,2,5,3,3,3,5,4,2,3,3,3,2,5,2,5,3,4,2,5,4,3,3,1,2,3,3,2,4,4,2,3,5,4,2,1,4,5
5,4,1,5,2,2,3,5,1,5,5,1,2,2,5,1,5,1,2,2,4,2,4,1,4,2,2,5,2,1,2,4,2,5,2,5,2,5,4,2,4,4,2,2,4,2,4,4,4,2,5,4,2,4,1,1,4,2,2,5,5,2,2,4,4,2,1,5,6
5,4,2,4,3,3,4,5,1,5,5,1,2,1,5,3,4,2,3,1,3,3,3,2,5,2,2,5,2,1,3,4,2,5,3,4,3,5,4,3,4,4,3,2,5,3,5,2,4,2,5,4,3,3,1,2,4,3,3,5,5,3,3,5,5,2,1,4,7
4,5,2,5,3,2,2,5,2,5,4,3,3,1,4,2,4,1,3,1,4,3,3,1,3,1,2,5,3,1,3,3,3,4,3,3,3,5,4,2,3,4,3,2,4,3,3,3,5,3,5,3,3,3,2,2,3,3,3,5,5,2,3,4,5,2,2,3,8
5,5,2,5,2,1,4,5,1,5,4,4,2,2,5,1,5,1,3,1,5,2,5,1,4,1,1,5,2,1,2,5,2,5,1,4,3,5,4,2,5,2,3,1,5,2,4,4,5,1,5,5,2,2,1,1,4,1,3,5,5,1,2,5,5,2,1,5,9
4,5,2,5,2,2,2,5,1,3,4,2,2,2,4,1,5,1,2,1,4,2,4,1,3,2,2,5,2,,2,5,2,5,2,5,2,4,4,2,4,3,2,1,4,2,4,3,4,2,5,4,2,3,2,2,4,2,2,4,4,2,2,4,4,2,1,4,10
5,5,3,4,2,1,3,5,1,5,5,2,1,1,5,2,5,1,3,1,3,3,3,1,4,1,3,5,2,1,2,5,2,5,1,5,3,5,3,2,4,4,3,2,4,2,4,3,5,2,5,4,2,4,1,1,3,2,2,5,5,2,2,4,5,2,2,4,11
4,5,2,4,2,2,3,5,2,4,4,2,1,1,4,2,5,1,3,1,4,2,4,1,3,1,2,5,2,2,2,4,2,4,2,5,2,5,4,2,4,3,3,2,4,2,5,4,4,2,5,4,2,3,1,2,4,2,3,4,4,2,2,4,4,2,2,4,12
3,4,2,5,3,3,2,5,2,5,4,1,2,1,5,2,4,1,3,2,4,2,4,1,3,2,2,5,2,2,2,4,2,4,3,4,3,2,3,2,4,3,3,2,4,3,4,3,3,2,5,3,3,3,2,2,3,2,2,4,4,2,3,4,4,2,2,5,13
